Datum (MEZ),Wind Offshore,Wind Onshore,Solar,Last
2022-01-01T00:00+01:00,6196.5,25775.5,0,47845.8
2022-01-01T00:15+01:00,6102.2,25693.5,0,47405
2022-01-01T00:30+01:00,6023.7,25289.3,0,46861.2
2022-01-01T00:45+01:00,5831.9,25352.5,0,46139.3
2022-01-01T01:00+01:00,5748.5,24889.3,0,45219.9
2022-01-01T01:15+01:00,5856.2,24642.1,0,44799.9
2022-01-01T01:30+01:00,5836,24214.8,0,44089.2
2022-01-01T01:45+01:00,5904.4,23527.3,0,43940.7
2022-01-01T02:00+01:00,5759.2,23564.7,0,44128.9
2022-01-01T02:15+01:00,5808.5,23173.8,0,43547.4
2022-01-01T02:30+01:00,5467.3,22982.7,0,43040.4
2022-01-01T02:45+01:00,5391.7,22879.1,0,42811.2
2022-01-01T03:00+01:00,5360.9,22571.2,0,42512.9
2022-01-01T03:15+01:00,5321.5,22295.3,0,42395.3
2022-01-01T03:30+01:00,5409.9,21760.6,0,42380.9
2022-01-01T03:45+01:00,5666.3,21504.1,0,42308
2022-01-01T04:00+01:00,5651.5,20857.6,0,42275.9
2022-01-01T04:15+01:00,5753.8,20853.8,0,42094.4
2022-01-01T04:30+01:00,5755.9,20219.7,0,42314.4
2022-01-01T04:45+01:00,5420.5,20178,0,41944.7
2022-01-01T05:00+01:00,5071.6,19788.3,0,41915.2
2022-01-01T05:15+01:00,4694.1,19568.8,0,41716.1
2022-01-01T05:30+01:00,4367.1,19386.8,0,41580.2
2022-01-01T05:45+01:00,4182.8,19357.2,0,41225.1
2022-01-01T06:00+01:00,4149.3,19593.7,0,41107.2
2022-01-01T06:15+01:00,4376.2,19309.8,0,41140.1
2022-01-01T06:30+01:00,4684.3,19142.2,0,41148.5
2022-01-01T06:45+01:00,5039.2,18776.3,0,41267.8
2022-01-01T07:00+01:00,5088.6,18429.3,0,41774.7
2022-01-01T07:15+01:00,5002.6,18039.4,0.1,41718.6
2022-01-01T07:30+01:00,4877.2,17756.5,0.1,41929.7
2022-01-01T07:45+01:00,4637.4,17712,1.7,42128
2022-01-01T08:00+01:00,4559.5,17094.7,5.3,42855.6
2022-01-01T08:15+01:00,4148.5,16790.9,66.6,43163.7
2022-01-01T08:30+01:00,3962.2,16504.5,323.5,43229.6
2022-01-01T08:45+01:00,4193.7,16256.4,711.7,43524.1
2022-01-01T09:00+01:00,4306.1,16124.9,1233.7,44763.2
2022-01-01T09:15+01:00,4358.6,15876.1,1828.1,45357.2
2022-01-01T09:30+01:00,4297.7,15413.3,2406.5,45905.4
2022-01-01T09:45+01:00,4071.4,15234.8,3019.8,46203.5
2022-01-01T10:00+01:00,4079,14790,3679.3,46707.7
2022-01-01T10:15+01:00,4103.9,14164.3,4380.3,47302.3
2022-01-01T10:30+01:00,4172.4,13698.1,5094.1,47815
2022-01-01T10:45+01:00,4019.6,13281.4,5769.9,48428.5
2022-01-01T11:00+01:00,3964.1,12641,6341.9,49171.4
2022-01-01T11:15+01:00,4119.9,12351.6,6922,49952.9
2022-01-01T11:30+01:00,4458,11751.5,7418.6,50600.2
2022-01-01T11:45+01:00,4698,10928.3,7822.2,50602
2022-01-01T12:00+01:00,4640.1,10939.4,8121,50678.1
2022-01-01T12:15+01:00,4892.7,10700.3,8386.4,50732.8
2022-01-01T12:30+01:00,5240.5,10062.9,8478.5,51148
2022-01-01T12:45+01:00,5416.9,9718.7,8261.7,50263
2022-01-01T13:00+01:00,5435.4,9384.5,7950.5,49894.4
2022-01-01T13:15+01:00,5502.2,9090.2,7588.6,49563.7
2022-01-01T13:30+01:00,5621.2,8771.1,7081.5,49704.6
2022-01-01T13:45+01:00,5784.5,8496.7,6544.4,49703.2
2022-01-01T14:00+01:00,5871.8,8480.3,5944.6,49203.1
2022-01-01T14:15+01:00,5920.9,8271.4,5327.3,48962.2
2022-01-01T14:30+01:00,5972.1,8255.8,4648.4,48927.6
2022-01-01T14:45+01:00,6041.5,8293.1,3919.1,48932.5
2022-01-01T15:00+01:00,6083.8,8470.2,3128,49006.3
2022-01-01T15:15+01:00,6092.8,8523.6,2310.2,48790
2022-01-01T15:30+01:00,6101.3,8765.3,1551.5,48832.2
2022-01-01T15:45+01:00,6129.6,9223.1,931.6,49113.6
2022-01-01T16:00+01:00,6139.5,9802.3,467.6,49879.7
2022-01-01T16:15+01:00,6168,10316.1,158.6,50584
2022-01-01T16:30+01:00,6179.8,10816.2,18.1,51715.5
2022-01-01T16:45+01:00,6197,11358.4,1,52997.8
2022-01-01T17:00+01:00,6216.8,11956.8,0.1,54289.3
2022-01-01T17:15+01:00,6155.2,12526.6,0,54826.6
2022-01-01T17:30+01:00,6098,13144.4,0,55499.4
2022-01-01T17:45+01:00,6106.3,13622,0,55740.9
2022-01-01T18:00+01:00,6116.4,14185,0,56045.6
2022-01-01T18:15+01:00,6101.8,14647.6,0,56241.3
2022-01-01T18:30+01:00,6107.6,15072.7,0,56019.9
2022-01-01T18:45+01:00,6124.4,15787.1,0,55832.3
2022-01-01T19:00+01:00,6135.5,16444.3,0,55556.6
2022-01-01T19:15+01:00,6149,16724,0,55269.1
2022-01-01T19:30+01:00,6153.4,17105.9,0,54904.4
2022-01-01T19:45+01:00,6162.9,17465.2,0,54267.5
2022-01-01T20:00+01:00,6203.5,17907.8,0,53878.9
2022-01-01T20:15+01:00,6255.7,17947.5,0,53255.9
2022-01-01T20:30+01:00,6338.2,17987.6,0,52682.1
2022-01-01T20:45+01:00,6396.2,18084.6,0,52226.9
2022-01-01T21:00+01:00,6466.2,18048.8,0,51925.5
2022-01-01T21:15+01:00,6529.2,18310.8,0,51379.2
2022-01-01T21:30+01:00,6566.8,18473,0,51371.1
2022-01-01T21:45+01:00,6603.7,18722,0,51123.7
2022-01-01T22:00+01:00,6732.9,18203.4,0,51494.7
2022-01-01T22:15+01:00,6796.3,18559.9,0,51174.6
2022-01-01T22:30+01:00,6846.9,18701.5,0,50648.6
2022-01-01T22:45+01:00,6881.8,18721.5,0,50029.1
2022-01-01T23:00+01:00,6910.2,18701.7,0,49112.9
2022-01-01T23:15+01:00,7019.7,18859.3,0,48464.9
2022-01-01T23:30+01:00,7052.4,18837.1,0,47823.4
2022-01-01T23:45+01:00,7041.7,18897.9,0,46778.2
2022-01-02T00:00+01:00,7006.8,19238.3,0,45939.4
2022-01-02T00:15+01:00,7018,19197.8,0,45745.5
2022-01-02T00:30+01:00,7033.6,18832.5,0,45921.2
2022-01-02T00:45+01:00,7008.5,18337.5,0,45325.2
2022-01-02T01:00+01:00,6966.6,18625.7,0,45276.2
2022-01-02T01:15+01:00,6895.3,19129.8,0,44467
2022-01-02T01:30+01:00,6861.4,19560.6,0,44039.2
2022-01-02T01:45+01:00,6905.6,17804.7,0,44171.4
2022-01-02T02:00+01:00,6939.5,17683,0,44064.9
2022-01-02T02:15+01:00,6888.8,18247.8,0,43739.9
2022-01-02T02:30+01:00,6806.8,18000.3,0,43633.1
